"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"1163",66,9,0,16,56,19.1,3.05,1.11,7.65,2.03,0,2,1,9,1,2,1,0,0,0,0,1,0,0,0,0,-1,0,4,15,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,4,1,4,0,16,0,13,13,6,185.25,0,39,0,10.35,2.34,379.4,0,0,2.3,0,5.61,0,0,0,0,0,1.7,0,4.94,0,0,2.64,0,5.94,0,0,0,0,0,0,0,0,1,15,1,1,1,0,0,0,0,0,0,0,0,0,"2","0","May","3","0","1","3","-1","-1","-1","2","4","1","2","0","medium_spend_cust"
"1175",27,19,0,2,44,8.8,0.65,-0.43,3.22,1.17,1,2,0,-1,-1,2,5,0,0,0,0,0,0,5,0,5,1,0,1,26,1,0,0,0,0,0,0,1,0,1,9,4,0,0,1,4,4,4,0,9,0,6,12,2,51.84,1,17,1,6.45,1.86,127.9,0,0,2.37,0,5.17,1,23.05,378.5,0,0,1.98,0,4.94,0,0,2.72,0,5.35,1,0,0,0,0,0,0,1,1,19,1,1,1,0,1,1,1,0,0,0,0,0,"2","0","April","4","0","1","2","1","27.9","0","2","3","3","3","3","medium_spend_cust"
"1176",79,10,0,26,18,18,0.24,-1.43,3,1.1,0,3,1,10,1,2,8,1,2,0,0,0,0,5,0,2,0,1,4,20,1,0,1,1,0,0,0,1,0,0,9,1,1,0,0,2,4,1,0,39,0,30,8,11,168.48,1,72,0,47.95,3.87,3460.05,0,0,2.74,0,7.01,0,0,0,1,11.75,2.46,865,6.76,0,0,2.82,0,7.15,1,0,0,0,0,0,0,0,1,15,1,1,1,0,0,0,0,0,1,0,0,0,"2","1","August","3","1","4","5","0","12.4","1","3","3","1","2","0","low_spend_cust"
"1177",18,13,0,0,17,4.7,0.24,-1.41,0.56,-0.59,1,2,1,15,3,3,6,0,0,0,0,0,0,6,0,1,1,0,3,27,0,0,1,0,1,1,0,1,0,1,9,2,1,0,1,1,2,4,0,0,0,0,11,3,101.73,0,4,0,10.85,2.38,47.5,0,0,2.3,0,5.1,1,29.3,104.55,0,0,2.11,0,5.14,0,0,2.54,0,5.63,1,0,0,0,0,0,0,1,1,19,1,1,1,0,1,0,1,0,0,0,0,0,"2","1","March","2","0","2","1","0","12.9","1","2","4","2","3","2","medium_spend_cust"
"1178",40,15,1,10,29,10.6,1.54,0.43,1.54,0.43,0,4,1,8,1,2,6,0,2,0,0,0,0,4,0,0,-1,0,4,20,0,0,0,1,1,0,0,1,0,0,9,6,0,1,1,1,2,1,0,22,1,23,11,10,516.89,0,61,0,11.4,2.43,611.2,0,0,2.4,0,6.5,0,0,0,1,18.75,2.93,1110,7.01,0,0,2.82,0,6.92,1,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,1,0,0,0,"5","0","June","4","0","1","2","-1","-1","-1","4","4","4","2","0","medium_spend_cust"
"1188",20,15,0,0,33,3.7,0.41,-0.9,0.82,-0.2,0,2,0,-1,-1,4,0,0,0,0,0,0,0,0,1,2,1,1,1,25,1,0,0,1,0,0,0,0,0,0,9,2,1,0,1,2,1,1,0,1,0,1,11,4,159.02,1,1,0,2.6,0.96,2.6,1,13.5,2.6,13.5,2.6,0,0,0,1,48,3.87,48,3.87,0,0,2.72,0,2.68,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,"2","0","October","1","0","3","1","0","18.4","0","3","1","4","1","1","medium_spend_cust"
"1199",37,17,0,3,20,18.6,1,0,2.72,1,0,2,0,-1,-1,1,10,2,1,0,0,0,0,7,1,2,1,0,8,18,1,0,0,0,0,0,1,1,0,1,9,4,1,0,0,4,1,1,0,5,0,1,15,4,91.26,0,7,0,3.2,1.16,15.05,1,23,3.14,162.1,5.09,0,0,0,1,5.75,1.75,40,3.69,0,0,2.54,0,4.29,0,0,0,1,1,1,1,0,1,21,0,1,1,0,1,0,0,0,0,0,0,1,"3","1","June","1","0","1","3","0","9.2","0","3","4","1","3","0","medium_spend_cust"
"1203",52,15,0,16,58,6,0.67,-0.4,2.81,1.03,0,4,0,-1,-1,1,3,1,2,0,0,0,0,0,1,1,1,1,10,30,0,0,1,0,0,0,0,0,0,1,9,4,0,0,1,4,1,4,1,30,0,23,8,7,262.55,1,61,0,22,3.09,1368.65,1,24.75,3.21,1524.25,7.33,0,0,0,1,30.25,3.41,1830,7.51,0,0,3.07,0,7.15,1,0,0,0,1,1,1,0,1,21,1,1,1,0,1,0,1,0,1,0,0,0,"3","1","May","5","0","1","5","1","26.9","1","1","1","4","3","3","medium_spend_cust"
"1204",72,15,0,9,84,4.9,1.52,0.42,2.6,0.95,0,3,1,14,2,2,0,0,0,0,0,0,0,0,1,2,1,1,1,29,1,0,0,0,0,0,0,1,0,0,9,5,0,1,0,4,4,1,0,35,0,20,16,5,222.51,1,67,0,15,2.71,894.1,0,0,2.25,0,6.49,1,32.25,2092.8,1,32.5,3.48,2155,7.68,0,0,3.02,0,7.12,1,0,0,0,0,0,0,0,1,26,1,1,1,0,1,1,0,0,1,0,0,0,"3","1","May","2","0","3","5","1","33.5","0","1","2","3","2","3","medium_spend_cust"
"1208",31,18,0,4,56,6.6,1.29,0.25,2.41,0.88,0,3,0,-1,-1,2,5,2,0,3,0,0,0,0,0,3,1,1,1,27,1,0,0,0,0,0,0,0,0,0,9,3,0,0,1,1,4,2,1,7,0,5,13,3,104.91,0,9,1,3.8,1.34,31.4,0,0,2.48,0,4.57,1,28.2,222,0,0,1.91,0,4.09,0,0,2.68,0,4.77,1,1,1,1,0,0,0,0,1,20,1,1,1,0,1,0,1,0,0,0,0,0,"4","0","December","3","0","2","2","1","28.6","0","4","3","4","1","3","medium_spend_cust"
"1212",44,10,0,14,29,14.1,0.6,-0.51,3.49,1.25,0,4,1,15,3,2,7,1,2,4,0,0,0,0,0,3,1,1,1,28,1,1,1,0,0,0,0,1,1,0,9,5,0,0,0,4,2,3,0,26,0,24,9,1,20.6,1,67,0,22.85,3.13,1552,0,0,2.66,0,6.81,0,0,0,1,22,3.09,1380,7.23,0,0,3.12,0,7.32,1,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,1,0,0,0,"5","1","October","3","0","2","3","1","8.7","0","1","2","4","3","0","medium_spend_cust"
"1214",57,17,0,23,145,6.9,5.15,1.64,4.85,1.58,0,5,1,16,3,4,0,0,0,0,0,0,0,0,1,2,1,0,1,25,1,0,0,0,0,0,0,0,0,0,2,6,1,0,0,1,1,2,0,32,0,24,8,10,1196.58,1,68,0,18.1,2.9,1209.45,1,38.75,3.66,2586.3,7.86,1,75.5,5119.85,1,16,2.77,1075,6.98,1,85.05,4.44,5857.35,8.68,1,1,1,1,1,1,1,1,1,22,1,1,1,1,1,1,1,1,1,0,0,1,"3","0","March","3","0","1","5","0","81.1","1","4","4","2","3","2","medium_spend_cust"
"1219",67,11,0,3,24,22.9,1.5,0.41,4,1.39,0,2,1,9,1,2,16,0,4,0,0,6,0,6,1,0,-1,1,8,22,0,0,1,0,0,0,0,1,0,0,1,6,1,0,0,4,3,1,0,25,0,17,5,1,12.53,0,47,0,17.5,2.86,816.6,1,29.75,3.39,1363.65,7.22,0,0,0,1,19.75,2.98,965,6.87,0,0,2.75,0,6.75,1,1,1,1,1,1,1,0,1,17,1,1,1,0,0,1,0,1,1,0,0,1,"4","0","November","2","0","3","5","-1","-1","-1","3","2","2","3","0","low_spend_cust"
"1223",36,11,0,9,71,16,4.38,1.48,6.98,1.94,1,2,0,-1,-1,1,7,0,2,0,0,0,0,5,1,3,1,1,1,33,1,0,1,0,0,0,0,0,0,0,9,3,1,0,1,1,2,2,1,18,1,18,8,5,155.86,0,68,0,17.9,2.88,1117.65,0,0,2.56,0,6.84,0,0,0,1,22.5,3.11,1565,7.36,0,0,2.83,0,7.23,1,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,1,0,0,0,"4","0","May","5","0","3","3","0","50.3","0","3","4","3","1","0","medium_spend_cust"
"1235",27,11,0,1,21,8.7,0.16,-1.83,1.67,0.51,0,3,0,-1,-1,2,1,0,1,0,0,0,0,0,1,3,0,0,1,35,1,0,1,0,0,0,0,0,0,0,9,5,0,1,1,2,1,3,0,3,0,4,10,7,78.25,0,12,0,3.25,1.18,39.35,1,15.75,2.76,175.65,5.17,0,0,0,0,0,1.45,0,3.56,0,0,2.82,0,5.13,0,1,0,0,0,1,0,0,1,24,1,1,1,0,0,0,0,0,0,0,0,0,"3","1","September","2","0","1","2","0","8","0","5","4","3","2","0","low_spend_cust"
"1238",75,11,1,45,346,13.6,3.81,1.34,43.24,3.77,0,3,0,-1,-1,1,8,0,0,1,0,0,0,7,1,2,1,0,1,30,1,0,0,0,0,0,0,0,0,0,9,5,1,1,0,1,3,3,0,35,0,26,12,6,402.41,0,63,0,23.5,3.16,1532.85,1,41.25,3.72,2530.8,7.84,0,0,0,1,21.25,3.06,1280,7.15,0,0,2.88,0,7.1,1,0,0,1,0,0,1,0,1,16,1,1,1,0,1,0,1,0,1,0,0,1,"1","1","April","6","0","1","4","1","81.2","1","4","1","2","2","0","medium_spend_cust"
"1239",43,15,1,6,34,1.2,0.05,-2.94,0.36,-1.03,0,2,1,13,2,2,6,1,0,0,0,0,0,5,1,3,1,1,1,23,1,0,1,0,0,1,0,1,0,0,9,3,1,0,0,2,3,1,1,10,1,14,7,7,163.78,0,32,1,6.75,1.91,255.3,1,31.75,3.46,1058.4,6.96,0,0,0,1,15.25,2.72,510,6.23,0,0,2.54,0,6.12,0,0,0,1,0,0,0,0,1,18,1,0,1,0,0,0,0,0,0,0,0,0,"5","1","December","2","0","3","4","0","17.5","1","3","3","4","2","0","medium_spend_cust"
"1240",61,16,0,12,68,8.3,2.32,0.84,3.32,1.2,0,4,1,14,2,2,1,1,0,0,0,0,0,0,1,2,1,0,1,30,1,0,0,1,0,1,0,0,0,0,9,4,0,0,0,2,3,2,0,39,0,28,14,6,244.01,1,72,0,36.95,3.61,2783.35,1,27.75,3.32,2059.2,7.63,1,49.6,3465.1,1,25.5,3.24,1690,7.43,1,52.8,3.97,3791.95,8.24,1,1,1,1,1,1,1,1,1,21,1,1,1,0,1,0,0,0,1,0,0,0,"3","1","March","1","0","1","4","1","47.3","1","4","1","2","2","2","medium_spend_cust"
"1242",48,19,0,2,25,9.8,1.61,0.47,0.84,-0.17,0,4,0,-1,-1,1,2,2,0,0,0,0,0,0,1,2,1,0,1,23,1,0,0,0,0,0,0,0,0,0,9,6,0,1,0,3,3,4,0,11,0,7,11,5,145.81,1,29,0,10.85,2.38,320,1,13.25,2.58,376.8,5.93,0,0,0,1,38,3.64,1070,6.98,1,33.65,3.52,980.25,6.89,1,1,1,1,1,1,1,1,1,27,1,1,1,0,1,1,1,0,1,0,0,0,"3","1","April","2","0","1","3","0","13.3","0","1","3","4","1","3","medium_spend_cust"
"1251",58,13,0,10,35,12.4,1.93,0.66,2.41,0.88,0,1,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,-1,1,6,27,0,0,0,0,0,1,0,0,0,0,9,5,0,0,0,1,2,1,0,15,0,13,8,8,360.43,0,32,0,3.65,1.29,120.8,0,0,2.2,0,5.72,0,0,0,0,0,2.11,0,5.5,0,0,2.64,0,6.32,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,1,0,0,1,0,0,0,"1","1","June","2","0","1","4","-1","-1","-1","3","1","4","2","0","medium_spend_cust"
"1259",51,12,0,8,36,13.6,0.26,-1.35,4.64,1.53,0,2,0,-1,-1,1,1,0,1,0,0,0,0,0,1,4,1,1,1,27,1,0,0,1,0,0,0,0,0,0,9,6,0,0,1,4,4,3,0,23,0,18,6,1,31.94,1,54,0,19.8,2.99,1083.6,1,29.5,3.38,1553.5,7.35,0,0,0,1,17.75,2.88,945,6.85,0,0,2.94,0,6.88,0,1,0,1,1,1,1,0,1,17,1,1,1,0,0,0,1,1,0,0,0,0,"5","1","January","1","0","1","4","0","16.4","1","2","2","2","3","0","low_spend_cust"
"1260",69,18,1,33,73,11.5,3.14,1.14,5.26,1.66,0,5,1,8,1,2,2,0,2,0,0,0,0,0,0,5,1,1,1,27,1,0,0,1,1,0,0,0,0,0,9,4,0,0,1,1,1,4,0,40,0,30,6,2,107.15,0,72,0,140.2,4.94,10252.35,0,0,2.46,0,6.44,0,0,0,1,86.5,4.46,6010,8.7,0,0,3.13,0,7.28,1,0,0,1,0,1,1,0,1,17,1,1,1,0,0,0,1,0,1,0,0,0,"3","1","January","5","1","1","3","0","42.9","1","4","4","4","2","0","medium_spend_cust"
"1262",55,18,0,15,55,4.7,1.35,0.3,1.23,0.21,0,3,1,14,2,2,1,1,0,0,0,0,0,0,0,0,-1,1,5,23,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,4,3,1,0,31,0,24,2,6,90.02,0,63,0,25.3,3.23,1550.9,0,0,2.53,0,6.77,1,30.95,1850.35,1,89.25,4.49,5650,8.64,0,0,3.03,0,7.23,1,0,0,0,0,0,0,1,1,26,1,1,1,0,0,1,1,0,1,0,0,0,"2","0","October","6","0","2","5","-1","-1","-1","3","2","3","3","0","low_spend_cust"
"1273",54,10,0,8,24,20.2,2.36,0.86,2.49,0.91,0,3,0,-1,-1,1,2,2,0,0,0,0,0,0,1,1,1,1,8,21,1,0,1,0,0,0,0,1,0,0,9,6,0,0,1,2,3,3,0,16,0,19,14,3,128.35,0,52,0,13.6,2.61,683.45,1,13.25,2.58,704.65,6.56,0,0,0,1,27.75,3.32,1505,7.32,0,0,2.69,0,6.7,0,0,0,1,0,1,1,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"2","1","April","2","0","1","4","0","15.4","0","3","2","1","3","0","medium_spend_cust"
"1289",39,18,0,0,67,8.2,2.18,0.78,3.32,1.2,0,1,1,18,4,2,4,0,0,0,0,0,0,4,0,2,1,1,1,23,1,0,0,0,0,0,0,1,0,0,9,1,1,1,1,4,3,2,0,6,0,6,11,3,85.92,0,27,1,12.7,2.54,310.25,1,28.5,3.35,795.6,6.68,1,47.25,1187.05,1,24.25,3.19,605,6.41,1,39.15,3.67,1011.75,6.92,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,0,0,0,0,"2","0","August","2","0","2","4","1","23.6","0","2","1","3","1","1","medium_spend_cust"
"1291",42,18,0,3,40,4.5,0.27,-1.32,1.53,0.43,0,2,1,14,2,2,3,1,2,0,0,0,0,0,1,3,1,1,1,39,1,0,0,1,1,0,0,1,0,1,9,5,0,0,1,3,3,1,0,17,0,12,16,2,54.83,0,14,0,9.9,2.29,162.2,0,0,2.35,0,4.41,0,0,0,0,0,1.91,0,3.56,0,0,2.68,0,4.77,1,1,0,1,0,0,0,1,1,21,1,1,1,0,1,1,1,0,0,0,1,0,"5","0","September","1","0","1","4","1","22","0","1","2","2","3","1","medium_spend_cust"
"1295",31,15,0,7,21,6.4,0.6,-0.5,0.74,-0.3,0,2,0,-1,-1,3,1,0,1,0,0,0,0,0,0,1,0,1,3,27,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,1,3,0,12,0,11,10,6,125.47,1,28,1,11.3,2.42,309.1,1,35.75,3.58,1045.25,6.95,0,0,0,1,14.5,2.67,390,5.97,0,0,2.82,0,6.24,0,0,0,1,1,1,1,0,1,13,1,1,1,1,0,0,0,0,0,0,0,0,"2","0","August","5","0","2","2","1","10.1","0","2","3","4","1","0","medium_spend_cust"
"1296",28,13,0,1,28,4.1,0.33,-1.11,0.82,-0.2,0,5,1,12,2,4,2,1,1,0,0,0,0,0,1,2,1,1,1,32,1,0,0,0,0,0,0,0,0,0,9,4,0,0,1,4,2,1,0,10,0,10,13,8,303.03,1,39,0,34.5,3.54,1340.2,0,0,2.35,0,6.24,0,0,0,1,8,2.08,330,5.8,0,0,2.72,0,6.58,1,0,0,0,0,0,0,0,1,17,1,1,1,0,0,1,0,0,0,0,0,0,"5","0","November","2","0","3","2","0","16.8","1","1","1","3","1","0","medium_spend_cust"
"1304",28,18,0,1,70,3.1,0.79,-0.24,1.38,0.32,0,3,1,16,3,8,6,2,4,0,0,0,0,0,1,0,-1,0,5,30,0,0,0,0,1,0,0,0,0,1,9,4,0,0,1,3,4,1,0,5,0,10,10,5,87.18,1,24,1,6.4,1.86,158.55,1,23.5,3.16,568.55,6.34,1,36.2,856.75,1,13,2.56,330,5.8,0,0,2.64,0,5.73,0,1,1,0,1,0,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,1,"4","1","October","1","0","1","3","-1","-1","-1","2","3","3","3","3","medium_spend_cust"
"1317",18,13,0,0,22,0.8,0.07,-2.59,0.1,-2.29,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,-1,0,3,20,0,0,1,0,0,0,0,0,0,1,9,6,1,0,1,4,1,3,0,0,0,0,16,10,330.84,1,4,0,5.5,1.7,20.75,1,16,2.77,68.65,4.23,0,0,0,1,19,2.94,55,4.01,0,0,2.82,0,3.96,0,1,0,1,1,1,1,1,1,21,1,0,1,1,1,0,1,0,0,0,1,0,"1","1","August","3","0","3","1","-1","-1","-1","1","1","4","1","3","medium_spend_cust"
"1318",53,11,0,19,74,17.3,1.91,0.65,10.89,2.39,0,4,0,-1,-1,2,2,2,0,0,0,0,0,0,1,4,1,1,1,16,1,0,1,1,1,0,0,0,0,0,4,6,1,0,1,2,2,2,0,31,1,22,4,4,137.4,1,63,0,23.7,3.17,1607.4,1,29.5,3.38,1894.1,7.55,0,0,0,1,26.75,3.29,1640,7.4,0,0,2.68,0,6.85,1,0,0,1,1,1,1,0,1,15,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","August","3","0","1","5","1","44.4","1","3","3","3","1","0","low_spend_cust"
"1323",34,10,0,7,29,3.7,0.26,-1.35,0.81,-0.21,0,2,1,12,2,3,3,3,0,0,0,0,0,0,1,0,-1,1,3,32,0,0,1,0,0,0,0,0,0,0,9,4,1,1,0,3,2,4,0,3,1,3,11,8,211.42,1,4,0,2.75,1.01,13.95,0,0,2.53,0,4.19,0,0,0,0,0,1.45,0,2.66,0,0,2.72,0,4.23,0,0,0,0,0,1,0,0,1,22,1,1,0,0,0,0,1,0,0,0,0,0,"1","1","March","3","0","4","3","-1","-1","-1","5","3","1","1","0","medium_spend_cust"
"1324",78,8,0,30,12,2.5,0.03,-3.37,0.27,-1.33,0,5,1,9,1,2,0,0,0,0,0,0,0,0,1,1,0,0,5,41,0,0,0,1,1,0,1,0,0,0,9,5,0,1,0,2,1,1,0,38,1,30,5,7,199.76,1,72,0,65.2,4.18,4636.6,0,0,2.3,0,6.49,0,0,0,1,20,3,1380,7.23,0,0,2.9,0,7.2,1,0,0,0,0,0,0,0,1,24,1,1,1,0,1,0,0,0,1,0,0,0,"5","0","January","1","1","2","5","0","5.1","1","3","4","4","2","0","low_spend_cust"
"1328",42,17,0,4,79,6.5,2.3,0.83,2.83,1.04,0,1,0,-1,-1,1,2,0,2,0,0,0,0,0,0,4,1,0,1,23,1,1,0,1,0,0,0,0,0,0,9,6,1,0,1,4,3,1,0,14,0,15,14,6,324.58,1,30,0,7.15,1.97,216.05,0,0,2.55,0,6.19,1,26.95,765.25,1,9,2.2,245,5.5,0,0,2.54,0,5.88,0,0,0,0,0,0,0,1,1,19,1,1,1,0,1,0,0,0,0,0,0,1,"1","0","February","1","0","2","2","1","38.7","1","1","3","4","3","0","medium_spend_cust"
"1330",62,12,1,24,160,12,5.8,1.76,13.4,2.6,0,4,1,13,2,2,6,0,0,0,0,0,0,6,0,3,1,1,1,23,1,0,0,0,1,0,0,0,0,1,9,4,0,0,0,1,3,1,0,18,0,14,11,7,392.6,0,40,0,13.45,2.6,530.85,1,59,4.08,2341.9,7.76,0,0,0,1,23.5,3.16,880,6.78,0,0,2.82,0,6.58,1,1,0,1,1,1,1,0,1,17,1,1,1,1,0,0,1,0,0,0,0,0,"2","0","March","6","0","1","4","0","64.9","0","4","3","1","3","0","medium_spend_cust"
"1352",31,14,0,1,40,27.9,6.04,1.8,5.12,1.63,1,3,1,9,1,5,7,0,0,0,0,0,0,7,1,1,1,0,3,26,1,0,1,0,0,0,1,0,0,0,9,3,1,0,1,1,1,1,0,6,0,4,10,6,253.26,1,24,0,4.55,1.52,115.75,1,20,3,468.7,6.15,0,0,0,0,0,2.74,0,5.91,0,0,2.54,0,5.81,0,0,0,1,1,1,1,0,1,15,1,1,1,0,0,0,0,0,1,0,0,0,"2","1","April","2","0","3","3","0","29.5","0","4","4","1","2","0","medium_spend_cust"
"1356",21,16,0,0,29,2.1,0.21,-1.58,0.4,-0.91,0,1,1,14,2,3,0,0,0,0,0,0,0,0,1,0,-1,1,3,22,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,5,1,1,0,3,0,3,14,7,224.92,1,28,1,4.6,1.53,165.8,1,21.5,3.07,625.55,6.44,1,40.2,1102.1,0,0,1.66,0,5.08,1,27.85,3.33,702.55,6.55,1,1,0,1,1,1,0,1,1,27,1,1,1,1,1,1,1,0,0,1,0,0,"3","1","October","1","0","3","1","-1","-1","-1","3","2","3","3","3","medium_spend_cust"
"1357",67,11,0,3,11,11.7,0.96,-0.04,0.33,-1.11,0,3,0,-1,-1,1,10,0,1,0,0,0,0,9,0,5,1,1,1,25,1,0,0,0,0,0,0,1,0,0,9,2,1,0,0,2,2,2,0,2,0,2,9,2,84.68,1,5,0,2.45,0.9,20.55,0,0,2.44,0,4.28,0,0,0,0,0,1.45,0,3.22,0,0,2.72,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"3","1","June","2","1","2","3","1","5","0","3","2","2","2","1","medium_spend_cust"
"1364",25,16,1,1,29,13.9,0.5,-0.7,3.54,1.26,0,2,1,17,4,5,0,0,0,0,0,0,0,0,0,0,-1,0,10,28,0,0,0,0,0,0,0,0,0,1,9,4,0,0,0,1,3,1,0,5,0,3,10,4,134.3,1,9,1,6,1.79,62.65,1,27.25,3.31,265.5,5.58,0,0,0,1,25.5,3.24,200,5.3,0,0,2.82,0,4.93,0,0,0,1,1,1,1,0,1,22,1,1,1,0,1,0,1,0,0,0,0,0,"1","0","July","6","0","2","1","-1","-1","-1","4","1","4","1","0","medium_spend_cust"
"1365",75,11,0,24,48,3,0.75,-0.28,0.69,-0.38,0,3,0,-1,-1,1,5,2,1,0,0,2,0,0,1,0,-1,0,5,22,0,0,0,1,1,0,0,0,0,0,9,3,1,1,0,3,2,4,0,33,0,18,12,4,98.16,1,63,0,13.75,2.62,893.2,0,0,2.82,0,6.95,0,0,0,1,10.75,2.37,640,6.46,0,0,2.89,0,7.05,0,0,0,0,0,0,1,0,1,18,1,1,1,0,1,0,0,0,0,0,0,0,"3","1","October","6","1","1","4","-1","-1","-1","4","4","1","2","1","medium_spend_cust"
"1369",53,20,0,8,88,12.9,2.51,0.92,8.84,2.18,0,2,1,15,3,2,8,1,1,0,0,0,0,6,0,0,-1,0,8,21,1,0,0,0,0,0,0,1,0,0,9,5,1,0,0,4,4,4,0,35,0,25,9,0,0,0,71,0,22.05,3.09,1553.45,1,45.25,3.81,3242.35,8.08,1,60.55,4268.95,1,16.25,2.79,1155,7.05,1,79.3,4.37,5477.95,8.61,1,1,1,1,1,1,1,0,1,23,1,1,1,1,1,1,1,1,1,0,0,0,"4","1","October","1","0","2","4","-1","-1","-1","3","3","4","2","2","low_spend_cust"
"1371",54,14,0,12,90,3.1,1.31,0.27,1.48,0.39,0,4,0,-1,-1,1,2,0,0,2,0,0,0,0,0,3,1,0,1,31,1,0,0,1,0,0,0,1,0,0,9,2,0,0,1,2,4,1,0,8,1,5,14,6,341.7,0,12,1,9.35,2.24,127.95,1,42,3.74,556.5,6.32,0,0,0,1,9.5,2.25,80,4.38,1,39.3,3.67,456.9,6.12,0,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,0,0,0,0,0,"2","1","February","1","0","2","4","1","36.4","0","1","4","3","2","0","medium_spend_cust"
"1375",69,9,0,37,29,8.9,0.41,-0.88,2.17,0.77,0,5,1,11,1,2,10,2,0,0,0,0,0,8,0,2,1,1,1,26,1,0,0,1,1,0,1,1,0,1,9,4,1,0,0,4,3,1,1,37,0,28,6,2,54.17,0,70,0,36.35,3.59,2403,0,0,2.33,0,6.71,0,0,0,1,16,2.77,1175,7.07,0,0,2.86,0,7.26,1,0,0,0,1,0,0,0,1,30,1,1,1,0,1,0,0,0,1,1,0,0,"4","0","February","6","1","2","4","1","15.9","1","2","4","4","3","1","low_spend_cust"
"1384",37,12,0,4,35,2.3,0.42,-0.87,0.39,-0.95,1,3,1,14,2,3,0,0,0,0,0,0,0,0,0,3,1,1,1,23,1,0,1,1,0,0,0,1,0,0,9,4,0,0,0,2,4,1,0,2,0,2,16,2,52.26,1,3,1,3.2,1.16,6.9,0,0,2.37,0,4.63,0,0,0,0,0,1.83,0,4.09,0,0,2.64,0,4.61,0,0,0,0,0,0,0,0,1,18,1,1,1,0,1,0,1,0,0,0,0,0,"4","1","February","2","0","2","2","0","11.8","0","1","1","4","3","2","medium_spend_cust"
"1385",75,23,0,14,68,11.9,3.14,1.14,4.95,1.6,0,3,0,-1,-1,1,5,0,0,0,0,0,0,5,1,1,1,0,5,21,0,0,0,1,1,0,0,0,0,0,4,3,0,0,1,4,4,4,0,14,0,10,14,7,200.74,1,26,0,7.5,2.01,184.95,1,23.5,3.16,587.5,6.38,0,0,0,1,21.25,3.06,430,6.06,1,36.25,3.59,854.8,6.75,1,1,0,1,1,1,1,1,1,23,1,1,1,0,1,1,0,1,0,0,1,0,"1","0","September","1","0","1","2","0","43.8","0","2","1","1","2","1","medium_spend_cust"
"1395",37,11,0,1,28,10.9,0.87,-0.14,2.18,0.78,0,1,1,12,2,2,0,0,0,0,0,0,0,0,1,1,0,0,5,23,0,0,1,0,1,0,0,0,0,0,9,1,1,1,0,3,3,4,0,19,0,19,13,2,55.06,0,64,0,24.3,3.19,1457.75,0,0,2.71,0,6.9,0,0,0,1,12,2.48,725,6.59,0,0,3.1,0,7.28,0,0,1,1,1,1,1,0,1,24,1,1,1,0,1,0,0,0,0,0,0,0,"1","0","September","2","0","1","3","0","12.8","0","5","3","3","3","0","medium_spend_cust"
"1397",39,13,0,4,53,5.4,0.82,-0.2,2.04,0.71,0,5,1,14,2,4,5,1,0,0,0,0,0,4,0,3,1,0,1,25,1,0,0,1,0,0,0,0,0,0,9,4,0,1,0,2,2,4,1,21,0,12,11,10,785.86,1,31,0,13.45,2.6,408.05,1,28,3.33,864.75,6.76,0,0,0,1,6.75,1.91,200,5.3,0,0,2.68,0,6.12,1,0,0,0,1,1,1,0,1,27,1,1,1,0,1,0,0,0,1,0,0,0,"2","0","October","2","0","2","3","0","27.4","0","3","4","2","1","0","high_spend_cust"
